-----------------------------------------------------
Circuit delay: 864.797 ps

Gate slacks: 
NOT-10771: 354.107 ps
NAND-10772: 365.741 ps
NOT-10773: 354.141 ps
NAND-10774: 365.784 ps
NOT-10775: 354.301 ps
NAND-10776: 365.935 ps
OR-10778: 328.817 ps
OR-10781: 328.816 ps
NOT-10784: 305.4 ps
NAND-10789: 155.966 ps
NAND-10792: 127.022 ps
NOT-10796: 233.902 ps
NAND-10797: 245.561 ps
NOT-10798: 238.92 ps
NAND-10799: 250.579 ps
NAND-10800: 156.17 ps
NAND-10803: 127.226 ps
NAND-10806: 204.941 ps
NAND-10809: 209.959 ps
NAND-10812: 127.133 ps
NOT-10815: 98.0522 ps
NAND-10816: 109.684 ps
NAND-10817: 204.941 ps
NAND-10820: 209.959 ps
NOT-10823: 126.996 ps
NAND-10824: 138.627 ps
NOT-10825: 98.0522 ps
NAND-10826: 109.684 ps
NAND-10827: 382.052 ps
NAND-10832: 354.145 ps
NAND-10833: 354.107 ps
NAND-10834: 354.141 ps
NAND-10835: 354.301 ps
NOT-10836: 313.878 ps
BUFF-10837: 328.817 ps
BUFF-10838: 328.817 ps
BUFF-10839: 328.816 ps
BUFF-10840: 328.816 ps
NAND-10845: 233.902 ps
NAND-10846: 238.92 ps
NAND-10857: 98.0522 ps
NAND-10862: 126.996 ps
NAND-10863: 98.0522 ps
AND-10864: 305.4 ps
AND-10865: 305.4 ps
AND-10866: 305.4 ps
AND-10867: 305.342 ps
NAND-10868: 354.145 ps
NAND-10869: 354.107 ps
NAND-10870: 354.141 ps
NAND-10871: 354.301 ps
NOT-10872: 155.966 ps
NAND-10873: 167.658 ps
NOT-10874: 127.022 ps
NAND-10875: 138.714 ps
NAND-10876: 233.902 ps
NAND-10879: 238.92 ps
NOT-10882: 156.17 ps
NAND-10883: 167.862 ps
NOT-10884: 127.226 ps
NAND-10885: 138.918 ps
NOT-10886: 204.941 ps
NAND-10887: 216.601 ps
NOT-10888: 209.959 ps
NAND-10889: 221.618 ps
NOT-10890: 127.133 ps
NAND-10891: 138.764 ps
NAND-10892: 98.0522 ps
NOT-10895: 204.941 ps
NAND-10896: 216.601 ps
NOT-10897: 209.959 ps
NAND-10898: 221.618 ps
NAND-10899: 126.996 ps
INP-109: 582.014 ps
NAND-10902: 98.0522 ps
OR-10905: 305.4 ps
OR-10906: 305.4 ps
OR-10907: 305.4 ps
OR-10908: 305.342 ps
NAND-10909: 155.966 ps
NAND-10910: 127.022 ps
NAND-10915: 156.17 ps
NAND-10916: 127.226 ps
NAND-10917: 204.941 ps
NAND-10918: 209.959 ps
NAND-10919: 127.133 ps
NAND-10922: 204.941 ps
NAND-10923: 209.959 ps
NAND-10928: 155.966 ps
NAND-10931: 127.022 ps
NOT-10934: 233.902 ps
NAND-10935: 245.533 ps
NOT-10936: 238.92 ps
NAND-10937: 250.551 ps
NAND-10938: 156.17 ps
NAND-10941: 127.226 ps
NAND-10944: 204.941 ps
NAND-10947: 209.959 ps
NAND-10950: 127.133 ps
NOT-10953: 98.0522 ps
NAND-10954: 109.744 ps
NAND-10955: 204.941 ps
NAND-10958: 209.959 ps
NOT-10961: 126.996 ps
NAND-10962: 138.688 ps
NOT-10963: 98.0522 ps
NAND-10964: 109.744 ps
NAND-10969: 233.902 ps
NAND-10970: 238.92 ps
NAND-10981: 98.0522 ps
NAND-10986: 126.996 ps
NAND-10987: 98.0522 ps
NOT-10988: 155.966 ps
NAND-10989: 167.607 ps
NOT-10990: 127.022 ps
NAND-10991: 138.663 ps
NAND-10992: 233.902 ps
NAND-10995: 238.92 ps
NOT-10998: 156.17 ps
NAND-10999: 167.81 ps
INP-110: 576.832 ps
NOT-11000: 127.226 ps
NAND-11001: 138.866 ps
NOT-11002: 204.941 ps
NAND-11003: 216.573 ps
NOT-11004: 209.959 ps
NAND-11005: 221.59 ps
NOT-11006: 127.133 ps
NAND-11007: 138.825 ps
NAND-11008: 98.0522 ps
NOT-11011: 204.941 ps
NAND-11012: 216.573 ps
NOT-11013: 209.959 ps
NAND-11014: 221.59 ps
NAND-11015: 126.996 ps
NAND-11018: 98.0522 ps
NAND-11023: 155.966 ps
NAND-11024: 127.022 ps
NAND-11027: 156.17 ps
NAND-11028: 127.226 ps
NAND-11029: 204.941 ps
NAND-11030: 209.959 ps
NAND-11031: 127.133 ps
NAND-11034: 204.941 ps
NAND-11035: 209.959 ps
NOT-11040: 233.902 ps
NAND-11041: 245.571 ps
NOT-11042: 238.92 ps
NAND-11043: 250.588 ps
NAND-11044: 155.966 ps
NAND-11047: 127.022 ps
NAND-11050: 156.17 ps
NAND-11053: 127.226 ps
NAND-11056: 204.941 ps
NAND-11059: 209.959 ps
NAND-11062: 127.133 ps
NOT-11065: 98.0522 ps
NAND-11066: 109.693 ps
NAND-11067: 204.941 ps
NAND-11070: 209.959 ps
NOT-11073: 126.996 ps
NAND-11074: 138.637 ps
NOT-11075: 98.0522 ps
NAND-11076: 109.693 ps
NAND-11077: 233.902 ps
NAND-11078: 238.92 ps
AND-1109: 871.536 ps
NAND-11095: 98.0522 ps
NAND-11098: 126.996 ps
NAND-11099: 98.0522 ps
INP-111: 588.766 ps
NAND-1110: 910.141 ps
NAND-11100: 233.902 ps
NAND-11103: 238.92 ps
NOT-11106: 204.941 ps
NAND-11107: 216.61 ps
NOT-11108: 209.959 ps
NAND-11109: 221.628 ps
NOT-1111: 907.041 ps
NOT-11110: 204.941 ps
NAND-11111: 216.61 ps
NOT-11112: 209.959 ps
NAND-11113: 221.628 ps
NOT-11114: 155.966 ps
NAND-11115: 167.694 ps
NOT-11116: 127.022 ps
NAND-11117: 138.75 ps
NOT-11118: 156.17 ps
NAND-11119: 167.897 ps
NAND-1112: 910.141 ps
NOT-11120: 127.226 ps
NAND-11121: 138.953 ps
NOT-11122: 127.133 ps
NAND-11123: 138.773 ps
NAND-11124: 98.0522 ps
NAND-11127: 126.996 ps
NAND-1113: 896.418 ps
NAND-11130: 98.0522 ps
NAND-11137: 204.941 ps
NAND-11138: 209.959 ps
NAND-11139: 204.941 ps
NOT-1114: 907.041 ps
NAND-11140: 209.959 ps
NAND-11141: 155.966 ps
NAND-11142: 127.022 ps
NAND-11143: 156.17 ps
NAND-11144: 127.226 ps
NAND-11145: 127.133 ps
NOT-1115: 879.973 ps
AND-11152: 238.92 ps
AND-11153: 233.902 ps
AND-11154: 238.922 ps
AND-11155: 233.905 ps
NAND-11156: 204.941 ps
NAND-11159: 209.959 ps
BUFF-1116: 875.475 ps
NAND-11162: 204.941 ps
NAND-11165: 209.959 ps
NAND-11168: 155.966 ps
NAND-11171: 127.022 ps
NAND-11174: 156.17 ps
NAND-11177: 127.226 ps
NAND-11180: 127.133 ps
NOT-11183: 98.0522 ps
NAND-11184: 109.78 ps
NOT-11185: 126.996 ps
NAND-11186: 138.724 ps
NOT-11187: 98.0522 ps
NAND-11188: 109.78 ps
BUFF-1119: 563.396 ps
INP-112: 578.998 ps
OR-11205: 233.902 ps
NAND-11210: 98.0522 ps
NAND-11211: 126.996 ps
NAND-11212: 98.0522 ps
NOT-11213: 155.966 ps
NAND-11214: 167.679 ps
NOT-11215: 127.022 ps
NAND-11216: 138.735 ps
NOT-11217: 156.17 ps
NAND-11218: 167.882 ps
NOT-11219: 127.226 ps
NAND-11220: 138.938 ps
AND-11222: 209.959 ps
AND-11223: 204.941 ps
AND-11224: 209.962 ps
AND-11225: 204.944 ps
AND-11226: 209.959 ps
AND-11227: 204.941 ps
AND-11228: 209.962 ps
AND-11229: 204.944 ps
NOT-11231: 127.133 ps
NAND-11232: 138.86 ps
NAND-11233: 98.0522 ps
NAND-11236: 126.996 ps
NAND-11239: 98.0522 ps
NAND-11242: 155.966 ps
NAND-11243: 127.022 ps
NAND-11244: 156.17 ps
NAND-11245: 127.226 ps
NOT-11246: 233.902 ps
BUFF-1125: 505.856 ps
NAND-11250: 127.133 ps
OR-11252: 204.941 ps
OR-11257: 204.941 ps
NAND-11260: 155.966 ps
NAND-11261: 127.022 ps
NAND-11262: 156.17 ps
NAND-11263: 127.226 ps
NOT-11264: 98.0522 ps
NAND-11265: 109.765 ps
NOT-11267: 126.996 ps
NAND-11268: 138.709 ps
NOT-11269: 98.0522 ps
NAND-11270: 109.765 ps
NAND-11272: 127.133 ps
NOT-11277: 127.022 ps
AND-11278: 155.966 ps
NOT-11279: 127.226 ps
AND-11280: 156.17 ps
NAND-11282: 98.0522 ps
NOT-11283: 204.941 ps
NAND-11284: 126.996 ps
NAND-11285: 98.0522 ps
NOT-11286: 204.941 ps
AND-11288: 127.022 ps
AND-11289: 127.226 ps
NOT-11290: 127.133 ps
NAND-11291: 138.845 ps
NAND-11292: 98.0522 ps
NAND-11293: 126.996 ps
NAND-11294: 98.0522 ps
NAND-11295: 127.133 ps
NOT-11296: 98.0522 ps
NOT-11297: 98.0522 ps
AND-11298: 126.996 ps
OR-11299: 127.022 ps
INP-113: 588.771 ps
OR-11302: 127.226 ps
NAND-11307: 127.133 ps
AND-11308: 98.0522 ps
AND-11309: 98.0522 ps
NAND-11312: 127.226 ps
NAND-11313: 127.022 ps
NOT-11314: 115.45 ps
NOT-11315: 115.653 ps
AND-11316: 127.133 ps
OR-11317: 98.0522 ps
BUFF-1132: 548.828 ps
NAND-11320: 115.653 ps
NAND-11321: 115.45 ps
OR-11323: 98.0522 ps
NAND-11327: 115.653 ps
NAND-11328: 115.45 ps
NAND-11329: 98.0522 ps
NOT-11331: 86.4797 ps
NOT-11333: 115.653 ps
NOT-11334: 115.45 ps
NAND-11335: 86.4797 ps
NAND-11336: 98.0522 ps
NOT-11337: 86.4797 ps
NAND-11338: 86.4797 ps
NAND-11339: 86.4797 ps
NOT-11340: 86.4797 ps
NAND-11341: 86.4797 ps
NOT-11342: 86.4797 ps
BUFF-1136: 494.576 ps
INP-114: 614.011 ps
BUFF-1141: 538.877 ps
BUFF-1147: 473.887 ps
INP-115: 614.076 ps
BUFF-1154: 310.508 ps
BUFF-1160: 245.499 ps
AND-1167: 540.784 ps
AND-1174: 765.958 ps
BUFF-1175: 478.962 ps
INP-118: 307.736 ps
BUFF-1182: 167.766 ps
NOT-1189: 266.56 ps
NOT-1194: 138.593 ps
NOT-1199: 459.009 ps
INP-12: 270.982 ps
NOT-1206: 448.282 ps
INP-121: 381.709 ps
BUFF-1211: 481.076 ps
NOT-1218: 788.266 ps
NOT-1222: 731.402 ps
BUFF-1227: 270.982 ps
BUFF-1233: 180.783 ps
INP-124: 423.459 ps
BUFF-1240: 543.715 ps
BUFF-1244: 489.452 ps
BUFF-1249: 477.46 ps
BUFF-1256: 198.174 ps
BUFF-1263: 482.889 ps
INP-127: 347.318 ps
BUFF-1270: 478.962 ps
BUFF-1277: 474.024 ps
BUFF-1284: 467.802 ps
BUFF-1287: 450.07 ps
BUFF-1290: 588.628 ps
BUFF-1293: 396.319 ps
BUFF-1296: 297.212 ps
BUFF-1299: 492.516 ps
INP-130: 390.518 ps
BUFF-1302: 320.89 ps
BUFF-1305: 707.533 ps
BUFF-1308: 689.802 ps
BUFF-1311: 713.616 ps
BUFF-1314: 661.47 ps
BUFF-1317: 646.601 ps
BUFF-1320: 646.601 ps
BUFF-1323: 656.512 ps
BUFF-1326: 549.428 ps
BUFF-1329: 443.041 ps
INP-133: 871.536 ps
BUFF-1332: 361.928 ps
BUFF-1335: 544.205 ps
BUFF-1338: 396.32 ps
INP-134: 871.536 ps
BUFF-1341: 283.983 ps
BUFF-1344: 297.212 ps
BUFF-1347: 394.474 ps
INP-135: 381.641 ps
BUFF-1350: 320.89 ps
BUFF-1353: 560.572 ps
BUFF-1356: 540.757 ps
BUFF-1359: 535.786 ps
BUFF-1362: 550.638 ps
BUFF-1365: 560.572 ps
BUFF-1368: 540.733 ps
BUFF-1371: 535.786 ps
BUFF-1374: 540.733 ps
BUFF-1377: 550.643 ps
INP-138: 282.533 ps
BUFF-1380: 561.073 ps
BUFF-1383: 541.231 ps
BUFF-1386: 541.231 ps
BUFF-1389: 556.118 ps
BUFF-1392: 527.591 ps
BUFF-1395: 512.62 ps
BUFF-1398: 507.639 ps
BUFF-1401: 512.566 ps
BUFF-1404: 531.9 ps
BUFF-1407: 438.07 ps
INP-141: 614.007 ps
BUFF-1410: 361.929 ps
BUFF-1413: 517.507 ps
BUFF-1416: 396.32 ps
BUFF-1419: 284.12 ps
BUFF-1422: 297.349 ps
BUFF-1425: 394.475 ps
BUFF-1428: 737.151 ps
BUFF-1431: 742.534 ps
BUFF-1434: 555.601 ps
BUFF-1437: 535.786 ps
INP-144: 269.304 ps
BUFF-1440: 535.786 ps
BUFF-1443: 550.639 ps
BUFF-1446: 555.601 ps
BUFF-1449: 540.733 ps
BUFF-1452: 535.786 ps
BUFF-1455: 540.733 ps
BUFF-1458: 550.643 ps
BUFF-1461: 544.458 ps
BUFF-1464: 438.07 ps
BUFF-1467: 361.929 ps
INP-147: 307.668 ps
BUFF-1470: 539.235 ps
BUFF-1473: 396.32 ps
BUFF-1476: 283.983 ps
BUFF-1479: 297.212 ps
BUFF-1482: 394.475 ps
BUFF-1485: 320.89 ps
NOT-1489: 871.536 ps
BUFF-1490: 875.475 ps
INP-15: 907.041 ps
INP-150: 844.691 ps
INP-151: 307.736 ps
INP-152: 844.691 ps
INP-153: 502.293 ps
AND-1537: 491.891 ps
INP-154: 395.905 ps
INP-155: 319.764 ps
AND-1551: 712.264 ps
INP-156: 363.102 ps
INP-157: 497.07 ps
INP-158: 381.709 ps
INP-159: 269.373 ps
INP-160: 282.602 ps
INP-161: 614.07 ps
INP-162: 844.691 ps
INP-163: 910.147 ps
INP-164: 695.236 ps
AND-1649: 783.504 ps
INP-165: 695.236 ps
INP-166: 551.693 ps
INP-167: 551.585 ps
INP-168: 561.353 ps
INP-169: 561.353 ps
INP-170: 572.697 ps
BUFF-1703: 473.966 ps
NOR-1708: 564.592 ps
INP-171: 596.475 ps
BUFF-1713: 695.065 ps
INP-172: 844.691 ps
NOR-1721: 711.015 ps
INP-173: 549.423 ps
INP-174: 554.605 ps
INP-175: 559.932 ps
BUFF-1758: 735.817 ps
INP-176: 565.32 ps
INP-177: 548.152 ps
INP-178: 580.569 ps
AND-1781: 866.275 ps
AND-1782: 505.856 ps
NOT-1783: 498.432 ps
NOT-1789: 494.576 ps
INP-179: 585.748 ps
AND-1793: 494.513 ps
AND-1794: 494.513 ps
AND-1795: 484.745 ps
AND-1796: 491.368 ps
AND-1797: 634.911 ps
AND-1798: 634.911 ps
NOT-1799: 473.887 ps
INP-18: 138.593 ps
INP-180: 591.081 ps
NOT-1805: 245.499 ps
INP-181: 614.076 ps
AND-1811: 481.311 ps
AND-1812: 498.479 ps
AND-1813: 493.091 ps
AND-1814: 487.764 ps
AND-1815: 482.582 ps
AND-1816: 430.229 ps
AND-1817: 296.261 ps
AND-1818: 252.923 ps
AND-1819: 329.064 ps
INP-182: 844.691 ps
AND-1820: 435.452 ps
NOT-1821: 467.802 ps
NOT-1822: 450.07 ps
NOT-1828: 588.628 ps
NOT-1829: 396.319 ps
INP-183: 844.691 ps
NOT-1830: 297.212 ps
NOT-1832: 492.516 ps
NOT-1833: 320.89 ps
NOT-1834: 707.533 ps
NOT-1835: 689.802 ps
NOT-1839: 713.616 ps
INP-184: 844.691 ps
NOT-1840: 661.47 ps
NOT-1841: 646.601 ps
NOT-1842: 646.601 ps
NOT-1843: 656.512 ps
NOT-1845: 478.962 ps
INP-185: 844.691 ps
NOT-1851: 167.766 ps
AND-1857: 547.235 ps
AND-1858: 529.634 ps
AND-1859: 524.24 ps
INP-186: 844.691 ps
AND-1860: 518.907 ps
AND-1861: 513.728 ps
AND-1862: 547.229 ps
AND-1863: 240.895 ps
AND-1864: 215.761 ps
AND-1865: 202.532 ps
AND-1866: 314.868 ps
NOT-1867: 549.428 ps
NOT-1868: 443.041 ps
NOT-1869: 361.928 ps
INP-187: 607.341 ps
NOT-1870: 544.205 ps
NOT-1871: 396.32 ps
NOT-1872: 283.983 ps
NOT-1873: 297.212 ps
NOT-1874: 394.474 ps
NOT-1875: 320.89 ps
NOT-1876: 560.572 ps
NOT-1877: 540.757 ps
NOT-1878: 535.786 ps
NOT-1879: 550.638 ps
INP-188: 844.691 ps
NOT-1880: 560.572 ps
NOT-1881: 540.733 ps
NOT-1882: 535.786 ps
NOT-1883: 540.733 ps
NOT-1884: 550.643 ps
BUFF-1885: 459.009 ps
INP-189: 582.277 ps
